Station,Distance
AsiaWorld-Expo,1
Airport,0
Tsing Yi,1
Kowloon,2
Hong Kong,3
Sunny Bay,2
Disneyland Resort,3
Lo Wu,17
Sheung Shui,16
Fanling,15
Tai Wo,14
Tai Po Market,13
University,12
Fo Tan,11
Sha Tin,10
Tai Wai,9
Kowloon Tong,8
Mong Kok East,7
Hung Hom,6
Exhibition Centre,7
Admiralty,8
Chai Wan,19
Heng Fa Chuen,18
Shau Kei Wan,17
Sai Wan Ho,16
Tai Koo,15
Quarry Bay,14
North Point,13
Fortress Hill,12
Tin Hau,11
Causeway Bay,10
Wan Chai,9
Central,9
Sheung Wan,10
Sai Ying Pun,11
HKU,12
Kennedy Town,13
Tiu Keng Leng,16
Yau Tong,15
Lam Tin,16
Kwun Tong,15
Ngau Tau Kok,14
Kowloon Bay,13
Choi Hung,12
Diamond Hill,11
Wong Tai Sin,10
Lok Fu,9
Shek Kip Mei,8
Prince Edward,7
Mong Kok,8
Yau Ma Tei,8
Ho Man Tin,7
Whampo,8
Wu Kai Sha,17
Ma On Shan,16
Heng On,15
Tai Shui Hang,14
Shek Mun,13
City One,12
Sha Tin Wai,11
Che Kung Temple,10
Hin Keng,10
Kai Tak,10
Sung Wong Toi,9
To Kwa Wan,8
East Tsim Sha Tsui,5
Austin,4
Nam Cheong,3
Mei Foo,3
Tsuen Wan West,4
Kam Sheung Road,5
Yuen Long,6
Long Ping,7
Tin Shui Wai,8
Siu Hong,9
Tuen Mun,10
Tung Chung,3
Lai King,2
Olympic,3
Po Lam,19
Hang Hau,18
Tseung Kwan O,17
Tsuen Wan,6
Tai Wo Hau,5
Kwai Hing,4
Kwai Fong,3
Lai Chi Kok,4
Cheung Sha Wan,5
Sham Shui Po,6
Jordan,9
Tsim Sha Tsui,9
Ocean Park,9
Wong Chuk Hang,10
Lei Tung,11
South Horizons,12
